"feature","lam"
"BPXPLS",NA
"BPXSAR",NA
"BPXDAR",NA
"BMXBMI",0
"URXUMASI",NA
"URXUCRSI",0
"LBDIRNSI",NA
"LBDTIBSI",NA
"LBXPCT",NA
"LBDFERSI",0
"LBDFOLSI",0
"LBDB12SI",0
"LBXCOT",NA
"LBXWBCSI",0
"LBXLYPCT",NA
"LBXMOPCT",NA
"LBXNEPCT",NA
"LBXEOPCT",NA
"LBXBAPCT",NA
"LBDLYMNO",NA
"LBDMONO",NA
"LBDNENO",NA
"LBDEONO",NA
"LBDBANO",NA
"LBXRBCSI",NA
"LBXHGB",NA
"LBXHCT",NA
"LBXMCVSI",NA
"LBXMCHSI",NA
"LBXMC",NA
"LBXRDW",NA
"LBXPLTSI",NA
"LBXMPSI",NA
"LBXCRP",0
"LBXGH",NA
"SSBNP",0
"LBDSALSI",NA
"LBXSATSI",0
"LBXSASSI",0
"LBXSAPSI",0
"LBDSBUSI",NA
"LBDSCASI",NA
"LBXSC3SI",NA
"LBDSGLSI",NA
"LBXSLDSI",0
"LBDSPHSI",NA
"LBDSTBSI",NA
"LBDSTPSI",NA
"LBDSUASI",NA
"LBDSCRSI",NA
"LBXSNASI",NA
"LBXSKSI",NA
"LBXSCLSI",NA
"LBDSGBSI",NA
"fs1Score",NA
"fs2Score",NA
"fs3Score",NA
"LDLV",NA
"crAlbRat",0
