"feature","med_m","mad_m","med_f","mad_f","skip"
"BPXPLS",70,11.8608,72,11.8608,FALSE
"BPXSAR",122,13.3434,118,14.826,FALSE
"BPXDAR",78,10.3782,75,10.3782,FALSE
"BMXBMI",3.31600253559892,0.171093060207154,3.35393091846792,0.249986537573644,FALSE
"URXUMASI",7.4,5.78214,7.2,7.48713,FALSE
"URXUCRSI",9.43771495981821,0.485362057792954,9.17326136373476,0.760024828678266,FALSE
"LBDIRNSI",17.01,6.108312,13.78,5.826618,FALSE
"LBDTIBSI",63.19,10.08168,66.86,11.141739,FALSE
"LBXPCT",27.9,9.78516,21.7,9.34038,FALSE
"LBDFERSI",5.01063529409626,0.773915605262238,3.68887945411394,1.14345266040205,FALSE
"LBDFOLSI",3.30321697330195,0.460199034531338,3.33931569049445,0.467425621019261,FALSE
"LBDB12SI",5.92665932374187,0.376824224706878,5.82523046529225,0.431360386559405,FALSE
"LBXCOT",0,0,0,0,TRUE
"LBXWBCSI",1.88706964903238,0.297514373092185,1.93871578032926,0.293924865097634,FALSE
"LBXLYPCT",30.6,8.00604,31.55,8.30256,FALSE
"LBXMOPCT",8.3,2.07564,7.2,1.77912,FALSE
"LBXNEPCT",57.4,8.8956,57.5,9.56277,FALSE
"LBXEOPCT",2.6,1.4826,2.2,1.33434,FALSE
"LBXBAPCT",0.6,0.29652,0.7,0.29652,FALSE
"LBDLYMNO",2.1,0.59304,2.1,0.7413,FALSE
"LBDMONO",0.6,0.14826,0.5,0.14826,FALSE
"LBDNENO",3.7,1.33434,4.1,1.63086,FALSE
"LBDEONO",0.2,0.14826,0.1,0.14826,FALSE
"LBDBANO",0,0,0,0,TRUE
"LBXRBCSI",5.05,0.37065,4.43,0.385476000000001,FALSE
"LBXHGB",15.3,0.889560000000002,13.5,1.03782,FALSE
"LBXHCT",45.5,2.52042,39.7,3.11346,FALSE
"LBXMCVSI",90.3,4.4478,90.1,5.04084000000001,FALSE
"LBXMCHSI",30.6,1.77912,30.6,2.07564,FALSE
"LBXMC",33.8,0.7413,33.85,0.815429999999996,FALSE
"LBXRDW",12.5,0.59304,12.45,0.815429999999998,FALSE
"LBXPLTSI",243,48.9258,277.5,68.1996,FALSE
"LBXMPSI",8.2,0.7413,8.25,0.815430000000001,FALSE
"LBXCRP",-1.89711998488588,1.12994884116473,-1.27296567581289,1.29355087072329,FALSE
"LBXGH",5.3,0.44478,5.2,0.44478,FALSE
"SSBNP",3.1267605359604,0.912594530327854,3.96404423112447,0.785979101313434,FALSE
"LBDSALSI",46,2.9652,44,2.9652,FALSE
"LBXSATSI",3.36729582998647,0.4785438313692,2.89037175789616,0.372598771369271,FALSE
"LBXSASSI",3.2188758248682,0.270309940102718,2.99573227355399,0.240950564873401,FALSE
"LBXSAPSI",4.36944785246702,0.288959242602608,4.31748811353631,0.324878380299266,FALSE
"LBDSBUSI",5,1.63086,4.3,1.03782,FALSE
"LBDSCASI",2.35,0.0741300000000004,2.325,0.111195,FALSE
"LBXSC3SI",24,1.4826,23,1.4826,FALSE
"LBDSGLSI",5.051,0.5752488,4.885,0.4937058,FALSE
"LBXSLDSI",5.02388052084628,0.165929502564029,4.97327352099829,0.187686643660097,FALSE
"LBDSPHSI",1.098,0.1438122,1.098,0.1912554,FALSE
"LBDSTBSI",10.3,2.52042,6.8,2.66868,FALSE
"LBDSTPSI",76,4.4478,75,4.4478,FALSE
"LBDSUASI",339,70.57176,255.8,61.82442,FALSE
"LBDSCRSI",70.7,13.04688,53,13.04688,FALSE
"LBXSNASI",139.5,2.37215999999999,139.3,2.52042000000002,FALSE
"LBXSKSI",4.17,0.29652,3.965,0.289107,FALSE
"LBXSCLSI",102.1,2.9652,102.8,2.66868,FALSE
"LBDSGBSI",30,4.4478,31,4.4478,FALSE
"fs1Score",0.0454545454545455,0.0673909090909091,0.0454545454545455,0.0673909090909091,TRUE
"fs2Score",0,0,0,0,TRUE
"fs3Score",2,1.4826,2,1.4826,TRUE
"LDLV",3.8368,1.0541286,3.5469,0.95568396,FALSE
"crAlbRat",1.58302385555027,0.589794512238491,1.84913487054871,0.698364440830595,FALSE
